campaign_name,adgroup_name,max_bid,keywords,negative_keywords
SFW_DeckRepair_PDX_2026Q2,SFW_DeckRepair_RotDamage,4.0,"[""homeowner in Portland Oregon asking how to repair a rotted wood deck"", ""signs of dry rot in deck boards joists or posts"", ""Pacific Northwest deck rot from rain and moisture"", ""soft or spongy deck boards that need replacement"", ""rotted deck repair vs full deck replacement cost"", ""deck rot inspection Portland metro""]","[""diy"", ""youtube tutorial"", ""home depot"", ""lowes""]"
SFW_DeckRepair_PDX_2026Q2,SFW_DeckRepair_Structural,4.0,"[""wobbly or unsafe deck structural repair"", ""sagging deck joists and beams needing replacement"", ""load-bearing deck post and beam restoration"", ""Portland homeowner asking if a deck is safe to walk on"", ""deck collapse risk assessment and structural repair""]","[""diy"", ""deck building plans""]"
SFW_DeckRepair_PDX_2026Q2,SFW_DeckRepair_Inspection,4.0,"[""free deck inspection in Portland Oregon"", ""what to look for in a deck inspection before buying a home"", ""deck contractor estimate Portland metro"", ""how much does deck repair cost in Portland""]","[""home inspection app"", ""diy inspection checklist""]"
SFW_ChimneyRepair_PDX_2026Q2,SFW_Chimney_WoodRot,5.0,"[""wood-framed chimney rot repair in Pacific Northwest"", ""rotted siding and framing around a wood chimney chase"", ""homeowner asking how to fix a rotted chimney chase"", ""Portland chimney framing replacement after water damage"", ""chimney chase rot causing roof leaks""]","[""masonry chimney"", ""brick chimney repair"", ""diy""]"
SFW_ChimneyRepair_PDX_2026Q2,SFW_Chimney_Leaking,5.0,"[""chimney leak around flashing or chase top"", ""water stains on ceiling near chimney Portland"", ""how to stop a leaking chimney in a wet climate"", ""chimney flashing failure causing water intrusion""]","[""chimney sweep"", ""fireplace cleaning"", ""diy""]"
SFW_ChimneyRepair_PDX_2026Q2,SFW_Chimney_Inspection,4.0,"[""free chimney inspection in Portland Oregon"", ""chimney rot inspection before selling a home"", ""chimney structural assessment Pacific Northwest""]","[""chimney sweep cost"", ""creosote removal""]"
SFW_SidingRepair_PDX_2026Q2,SFW_Siding_HardieBoard,5.0,"[""Hardie board siding installation in Portland Oregon"", ""James Hardie fiber cement siding repair specialists"", ""matching and patching damaged Hardie plank siding"", ""Hardie board contractor Pacific Northwest""]","[""diy hardie board"", ""hardie siding cost calculator""]"
SFW_SidingRepair_PDX_2026Q2,SFW_Siding_RotRepair,5.0,"[""rotted siding repair Portland metro"", ""water-damaged exterior siding replacement"", ""Pacific Northwest siding rot from rain exposure"", ""homeowner asking how to fix soft or peeling siding""]","[""diy siding repair"", ""siding paint""]"
SFW_SidingRepair_PDX_2026Q2,SFW_Siding_Replacement,5.0,"[""full siding replacement Portland Oregon homeowner"", ""cedar siding replacement Pacific Northwest"", ""exterior siding remodel contractor estimate"", ""T1-11 plywood siding replacement""]","[""vinyl siding wholesale"", ""siding manufacturer""]"
SFW_CrawlspaceRot_PDX_2026Q2,SFW_Crawlspace_RotRepair,5.0,"[""crawl space rot repair Portland Oregon"", ""rotted subfloor and floor joists under a Pacific Northwest home"", ""homeowner asking about wood rot under the house"", ""sill plate and rim joist rot replacement"", ""musty smell from crawl space and possible rot""]","[""crawl space cleaning service"", ""pest control"", ""diy""]"
SFW_CrawlspaceRot_PDX_2026Q2,SFW_Crawlspace_Subfloor,5.0,"[""sagging floor caused by rotted joists Portland"", ""subfloor replacement under bathroom or kitchen"", ""sister joist repair to restore floor strength"", ""bouncy floor diagnosis Pacific Northwest home""]","[""squeaky floor diy"", ""subfloor adhesive""]"
SFW_CrawlspaceRot_PDX_2026Q2,SFW_Crawlspace_Moisture,4.0,"[""crawl space moisture control Portland Oregon"", ""vapor barrier and encapsulation Pacific Northwest"", ""wet crawl space causing wood rot"", ""crawl space drainage and ventilation contractor""]","[""crawl space dehumidifier brand"", ""diy encapsulation kit""]"
SFW_LeakRepair_PDX_2026Q2,SFW_Leak_WindowLeak,5.0,"[""leaking window repair Portland Oregon"", ""water dripping inside around a window during rain"", ""window flashing failure causing wall leak"", ""homeowner asking how to stop a window from leaking""]","[""window replacement quote"", ""diy caulk window""]"
SFW_LeakRepair_PDX_2026Q2,SFW_Leak_WaterIntrusion,5.0,"[""hidden water intrusion in exterior walls Portland"", ""finding the source of a mystery leak in a home"", ""Pacific Northwest home water damage from rain"", ""moisture meter leak detection contractor""]","[""plumber"", ""burst pipe"", ""water heater leak""]"
SFW_FlashingRepair_PDX_2026Q2,SFW_Flashing_RoofWall,4.0,"[""roof flashing repair Portland Oregon"", ""chimney flashing leak fix"", ""valley flashing replacement Pacific Northwest"", ""wall flashing failure causing siding rot""]","[""full roof replacement"", ""diy roof flashing"", ""roofing materials""]"
SFW_FlashingRepair_PDX_2026Q2,SFW_Flashing_WindowKickout,4.0,"[""kickout flashing installation Portland"", ""window flashing repair to stop water intrusion"", ""missing kickout diverter causing hidden wall rot""]","[""window replacement"", ""diy flashing tape""]"
SFW_LeadPaint_PDX_2026Q2,SFW_LeadPaint_Removal,3.0,"[""lead paint removal in a pre-1978 Portland home"", ""EPA RRP-certified lead-safe renovation contractor"", ""lead paint abatement and encapsulation Pacific Northwest"", ""homeowner asking about safely removing old lead paint""]","[""diy lead paint removal"", ""lead paint cost calculator""]"
SFW_LeadPaint_PDX_2026Q2,SFW_LeadPaint_Testing,3.0,"[""lead paint testing for an older Portland home"", ""XRF lead testing before remodel or renovation"", ""lab analysis lead paint inspection Pacific Northwest""]","[""lead test kit amazon"", ""diy lead swab""]"
SFW_DryRot_PDX_2026Q2,SFW_DryRot_Repair,4.0,"[""dry rot repair Portland Oregon home"", ""removing and replacing rotted wood framing"", ""wood-decay fungus identification and treatment Pacific Northwest"", ""homeowner asking about soft or punky wood on the exterior""]","[""diy wood filler"", ""rot epoxy product brand""]"
SFW_DryRot_PDX_2026Q2,SFW_DryRot_Prevention,3.0,"[""preventing wood rot in a Pacific Northwest climate"", ""treated lumber and moisture barrier strategy"", ""borate wood treatment for rot prevention""]","[""wood preservative brand"", ""diy borate""]"
SFW_TrimRepair_PDX_2026Q2,SFW_Trim_FasciaSoffit,3.0,"[""rotted fascia board repair Portland Oregon"", ""soffit replacement to restore attic ventilation"", ""Pacific Northwest fascia and soffit rot from moisture""]","[""gutter installation"", ""diy fascia""]"
SFW_TrimRepair_PDX_2026Q2,SFW_Trim_Exterior,3.0,"[""exterior window and door trim repair Portland"", ""corner board and rake trim replacement"", ""rotted exterior trim restoration Pacific Northwest""]","[""interior trim"", ""molding catalog""]"
SFW_BeamRepair_PDX_2026Q2,SFW_Beam_Structural,4.0,"[""structural beam repair Portland Oregon"", ""load-bearing beam replacement in an older home"", ""engineered lumber beam restoration Pacific Northwest"", ""homeowner asking if a damaged beam can be repaired""]","[""lumber pricing"", ""diy structural repair""]"
SFW_BeamRepair_PDX_2026Q2,SFW_Beam_Sistering,4.0,"[""beam sistering to reinforce weakened framing"", ""sagging beam repair without full replacement"", ""structural reinforcement Portland Oregon contractor""]","[""lvl beam calculator"", ""diy sistering""]"
